hour_of_the_day,day_of_the_week,client_user,client_host,client_ip,client_program,service_name
4.427222222222222,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.829722222222221,1,oracle,itrac1306.cern.ch,,,
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.830555555555556,1,,,,,C2PPSDB1
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.432777777777778,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.829444444444444,1,dboard,dashb-ai-651.cern.ch,128.142.146.223,python,int11r.cern.ch
11.821666666666667,1,,,,,INT11R2
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.419444444444445,1,inforops,__jdbc__,137.138.161.94,JDBC Thin Client,EDMSTST
4.435277777777778,1,oracle,itrac1328.cern.ch,,,
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.421388888888889,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
4.441111111111112,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.821388888888889,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.419444444444445,1,inforops,__jdbc__,137.138.161.94,JDBC Thin Client,EDMSTST
4.435277777777778,1,,,,,ZORATST
11.830833333333333,1,stage,lxc2cert1.cern.ch,128.142.243.87,python,SYS$STAGER_DEV01.TRANSFERREADYTOSCHEDULE.C2CSTDEV.CERN.CH
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.831111111111111,1,dboard,dashb-ai-651.cern.ch,128.142.146.223,python,int11r.cern.ch
11.821666666666667,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.821944444444444,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
11.822222222222223,1,merge,pcamsj2.cern.ch,137.138.188.167,python,int11r.cern.ch
4.434166666666667,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\kernel\exe\Evolynx-serveur.exe,SUSITST
